youtube_id,kol_nickname,subscriber,kol_player_num,kol_country,kol_interact_rate,kol_player_num_mean,price,kol_wotokol_score
2975,Kaily,24600,2959099,美国,12,33,￥2580.00-3329.00,4
125307,Reece Lopez,24600,1953991,美国,2,3645,￥2290.00-3023.00,3
220441,Chef Jon Ashton,24600,1735894,美国,1,1812,￥2450.00-3234.00,3
3685,Anthony Alvarenga,24700,2764940,美国,4,0,￥2500.00-3225.00,4
219080,designerheadtotoes,24700,22012,美国,21,1989,￥2500.00-3275.00,4
117494,Kayla\'sBeauty Life,24700,4953065,美国,5,4348,￥2490.00-3312.00,3
159121,Alec & Moyra,24700,1899994,美国,12,1637,￥2560.00-3405.00,4
132214,Manuela M,24700,10339054,美国,9,8678,￥2240.00-2890.00,1
137121,Leila Katerina,24900,1962327,美国,9,2073,￥2280.00-2942.00,4
133903,MissHollyBerries,24900,3982074,美国,11,2377,￥2560.00-3354.00,4
234023,Miss Irina Life,24900,14618799,美国,5,11629,￥2130.00-2812.00,4
226327,MakeupBy Cecy,24900,5700549,美国,4,5009,￥2480.00-3200.00,4
206354,Rat Race Rebellion The Work from Home Experts,24900,1306501,美国,1,1124,￥2460.00-3272.00,3
180894,AROYALIFE,25000,1209383,美国,4,1701,￥2130.00-2748.00,4
185378,Lucy lou,25000,3864948,美国,4,3267,￥2510.00-3339.00,4
153549,Barb Owen - HowToGetCreative.com,25000,2176841,美国,11,3500,￥2310.00-3003.00,1
2980,Mia Freda,25100,281131,美国,6,263,￥2590.00-3419.00,4
184489,Traveling with Jose,25100,2961110,美国,13,2307,￥2300.00-2967.00,4
182158,Daya Flakyta,25200,1806324,美国,10,1244,￥2450.00-3185.00,4
210578,Black Coast,25200,4291420,美国,3,3706,￥2520.00-3276.00,3
6654,Piper De Young,25300,1496636,美国,6,0,￥2600.00-3380.00,4
218826,Selena Sanchez,25300,2369090,美国,5,2044,￥2560.00-3328.00,4
212645,Lidya Scarlet,25300,2530827,美国,12,1784,￥2060.00-2699.00,4
168874,pugscompilation1,25400,5271264,美国,3,4343,￥2440.00-3148.00,3
175800,Tayler Ward Coffin,25400,1698216,美国,2,1511,￥2600.00-3458.00,3
102139,AgentShawnee,25400,1449230,美国,6,1436,￥2580.00-3432.00,4
211055,MissT1806,25400,1984480,美国,12,1716,￥2550.00-3341.00,4
76880,Thomas Tha Franchise,25400,4294745,美国,9,1481,￥2370.00-3081.00,4
100422,DuO ENT,25500,1171216,美国,8,8488,￥2110.00-2722.00,4
144900,Savi You,25500,7520467,美国,6,5488,￥2100.00-2772.00,4
199511,Lily Seymour,25500,5454301,美国,7,4572,￥2430.00-3135.00,4
127963,GardenersLand,25500,4878836,美国,3,1428,￥2350.00-3126.00,3
174052,CompilationMania,25500,26836629,美国,2,1917,￥2480.00-3224.00,2
126050,Demi Siriusly,25600,5413782,美国,8,2060,￥2640.00-3432.00,4
195884,Noah,25600,73984,美国,7,1208,￥2620.00-3433.00,4
55170,DTLR UNBOXED,25700,2617049,美国,1,108,￥2630.00-3393.00,3
145122,Amaia Tropical,25700,4122559,美国,5,3483,￥2530.00-3264.00,3
161456,Kenton & Habiba,25700,3356127,美国,11,3433,￥2320.00-3040.00,1
142062,BuildItFilmItM,25700,2889437,美国,6,2499,￥2610.00-3446.00,4
122513,Ragtime Press,25700,4153250,美国,0,3369,￥0.00-0.00,2
163986,Vickie Comedy,25800,2163111,美国,9,1382,￥2570.00-3367.00,4
217834,Sabrina Belaid,25800,12499816,美国,1,10110,￥2440.00-3148.00,3
205938,Everyday Starlet,25800,4311374,美国,9,3166,￥2150.00-2838.00,1
172460,Mommy2TwoBoys,25800,18671659,美国,2,3757,￥2410.00-3133.00,3
125782,K Family Vloggers,25900,876559,美国,3,11469,￥2260.00-2984.00,3
155818,Rahina Kumai,25900,0,美国,2,1302,￥2650.00-3498.00,3
198863,VIVA GLAM MAGAZINE,25900,2632638,美国,1,2118,￥2330.00-3006.00,3
147674,Miaira Jennings,26000,2333079,美国,12,2548,￥2030.00-2700.00,4
83149,Fields of Fashion,26000,0,美国,7,2823,￥2380.00-3071.00,4
186316,Aileh G,26000,6914285,美国,5,5801,￥2440.00-3172.00,3
180094,Avery Miller,26000,1679129,美国,4,1453,￥2670.00-3445.00,3
151263,Decoration Channel,26000,6371133,美国,3,4874,￥2250.00-2970.00,3
1475,Makaila Kay\'s Life,26100,1560604,美国,12,989,￥2560.00-3328.00,4
6658,kaili west,26100,3269948,美国,6,2021,￥2370.00-3081.00,4
11449,Meet the Bass’,26200,2523892,美国,3,8901,￥2370.00-3081.00,3
109033,Жизнь в Америке,26200,3961778,美国,6,1239,￥2640.00-3459.00,4
180072,Cerdca,26200,16969115,美国,4,5947,￥2600.00-3458.00,3
100397,Jessica Flores,26200,4338074,美国,11,1207,￥2560.00-3354.00,1
158833,Ghostly,26300,9860844,美国,2,8092,￥2380.00-3071.00,3
96296,Mikaela Smith,26300,3743544,美国,7,3103,￥2540.00-3302.00,4
233656,The Salt Lake Tribune,26300,49916153,美国,3,8348,￥3214.00-4179.00,3
23633,Yalon Mishaél,26400,2649097,美国,12,643,￥2070.00-2691.00,4
146246,Mauhlie Dynasee,26400,3356919,美国,3,2970,￥2660.00-3485.00,3
205123,KateInRealLife,26400,3023389,美国,2,2596,￥2680.00-3484.00,2
227192,Test One,26400,1472766,美国,3,1213,￥2540.00-3277.00,3
162351,Thelma Corajes,26400,1906405,美国,17,5854,￥2410.00-3206.00,4
143266,HairByPierre,26400,7228621,美国,6,2068,￥2510.00-3339.00,4
140180,Tae Gregoire,26500,1668383,美国,9,1394,￥2620.00-3459.00,4
148481,Selena Reycasa,26500,1548571,美国,3,1284,￥2710.00-3496.00,3
6655,Liv Walters,26600,0,美国,0,0,￥0.00-0.00,2
234939,A Little Bit etc,26600,3778168,美国,10,5120,￥2650.00-3472.00,4
170677,Priya Vohra,26600,1057059,美国,4,3126,￥2700.00-3564.00,3
185734,Hannah and Chad,26600,1912053,美国,3,1339,￥2330.00-3099.00,3
232501,India Love,26600,5414256,美国,4,4687,￥2480.00-3274.00,3
166782,The Planner Sophisticate,26600,359386,美国,5,1132,￥2710.00-3496.00,3
2805,SHAIANA TALIA,26700,735777,美国,4,0,￥2680.00-3538.00,4
137174,Adventure Adrift,26700,3945176,美国,17,10945,￥2640.00-3512.00,4
143861,Alyssa Cardiff,26700,2527045,美国,9,2718,￥2710.00-3605.00,4
222073,MAKERS,26800,9695208,美国,4,7105,￥2050.00-2665.00,3
116228,Steve Jan,26800,4160999,美国,13,6866,￥2380.00-3094.00,4
28306,DNVlogsLife TV,26900,4490038,美国,31,826,￥2400.00-3192.00,4
131807,Cow Town,26900,7785283,美国,3,7688,￥4091.00-5278.00,3
145054,Yarimasu,26900,5464540,美国,8,2357,￥578.00-763.00,4
156469,That DIY Couple,26900,1771173,美国,6,2250,￥2110.00-2765.00,4
166018,KolorsbyKel Lifestyle,27000,4184484,美国,11,3196,￥2440.00-3221.00,4
84973,Life Made Fierce,27000,1081989,美国,12,1393,￥2740.00-3645.00,4
142434,Joso Anani,27000,3031223,美国,10,2677,￥2740.00-3590.00,4
78432,Jenn Rogers,27000,4013159,美国,8,2907,￥2750.00-3630.00,4
151898,Tiffany Lynette Davis,27000,1026325,美国,5,2646,￥2700.00-3483.00,3
81662,thatsBETSYV,27100,10299417,美国,12,11863,￥2560.00-3303.00,4
223565,Max\'s Best Bootcamp,27100,3406966,美国,4,2359,￥2220.00-2886.00,3
235025,Bianca Gover,27100,2980006,美国,3,2732,￥2740.00-3617.00,3
147638,Kisha Jaggers,27200,5516193,美国,1,1538,￥2670.00-3471.00,3
187304,vincentvanstop,27200,1243872,美国,7,1060,￥2850.00-3677.00,4
155407,ReecieDIY!,27200,4050169,美国,3,3325,￥2430.00-3232.00,3
178259,Beauty & Hair,27300,10953309,美国,0,9374,￥2630.00-3472.00,2
165282,N Mudireddy,27300,11554676,美国,2,8818,￥2410.00-3133.00,2
210362,CP Media,27300,10426172,美国,2,8733,￥2580.00-3380.00,2
209782,Roslyn Rags,27300,4758517,美国,2,3867,￥2510.00-3289.00,3
4692,Aliyah Christine,27400,3602054,美国,7,499,￥2580.00-3354.00,4
97964,Kelsey Humphreys,27400,1824929,美国,10,1532,￥2690.00-3497.00,4
172511,Creations by Miriam,27400,2399155,美国,10,1689,￥2140.00-2804.00,4
183195,liliabalorios.,27400,5614451,美国,3,1705,￥2590.00-3445.00,3
177001,Flawhs,27400,2382608,美国,8,3164,￥2410.00-3206.00,4
3646,Carlos Roberto,27500,5301322,美国,5,1071,￥2670.00-3445.00,4
30857,408california408,27600,4390498,美国,4,12236,￥2270.00-3020.00,4
62348,Amanda Magana,27600,4229986,美国,4,981,￥2740.00-3535.00,4
100015,Chris2funny,27600,2876206,美国,5,1000,￥2600.00-3406.00,4
124759,10 Day Detox Diet,27600,2333484,美国,2,3540,￥2350.00-3102.00,2
196580,Viajando Barato Pelo Mundo,27700,1415524,美国,9,11404,￥2020.00-2606.00,1
95418,Xenia Adonts,27700,1292535,美国,2,6857,￥2750.00-3548.00,3
189120,chronicurls,27700,2118745,美国,6,1732,￥2680.00-3511.00,4
